Squad,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,# Pl,Age,Poss,Ast,G-PK,PK,PKatt,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Notes,Country
SPAL-17,8,14,16,39,59,-20,38,37.7,59.9,-22.1,-0.58,29,26.7,45.1,14,32,5,6,0.97,0.37,1.34,0.84,1.21,33.1,20,53.1,0.99,0.53,1.52,0.87,1.4,Neither,Italy
Torino-17,13,15,10,54,46,8,54,46.8,52.3,-5.5,-0.14,27,28.1,51,36,53,0,2,1.39,0.95,2.34,1.39,2.34,45.3,34.6,79.9,1.23,0.91,2.14,1.19,2.1,Neither,Italy
Udinese-17,12,4,22,48,63,-15,40,43.7,50.8,-7.1,-0.19,27,26.5,44.7,27,38,7,7,1.18,0.71,1.89,1,1.71,38.4,29.8,68.2,1.15,0.78,1.93,1.01,1.79,Neither,Italy
Atalanta-18,20,9,9,77,46,31,69,66.9,41.4,25.5,0.67,27,26.5,57.2,60,73,2,4,1.97,1.58,3.55,1.92,3.5,63.9,50.2,114.1,1.76,1.32,3.08,1.68,3,European Spot,Italy
Bologna-18,11,11,16,48,56,-8,44,47.4,46.6,0.8,0.02,29,27,45.2,35,40,5,5,1.18,0.92,2.11,1.05,1.97,43.6,30.8,74.4,1.25,0.81,2.06,1.15,1.96,Neither,Italy
Cagliari-18,10,11,17,36,54,-18,41,39.1,58.8,-19.6,-0.52,30,27.9,49.9,27,34,2,3,0.95,0.71,1.66,0.89,1.61,36.9,27.5,64.3,1.03,0.72,1.75,0.97,1.69,Neither,Italy
Chievo-18,2,14,22,25,75,-50,17,35.9,59.4,-23.5,-0.62,36,28.3,43.5,17,21,4,6,0.66,0.45,1.11,0.55,1,31.5,23,54.5,0.94,0.61,1.55,0.83,1.43,Relegation Spot,Italy
Empoli-18,10,8,20,51,70,-19,38,52.1,61,-8.9,-0.23,29,26.4,47.9,36,44,4,7,1.26,0.95,2.21,1.16,2.11,46.7,34,80.7,1.37,0.89,2.26,1.23,2.12,Relegation Spot,Italy
Fiorentina-18,8,17,13,47,45,2,41,52.3,42.2,10,0.26,27,24.1,50.3,24,40,5,6,1.18,0.63,1.82,1.05,1.68,47.7,33.7,81.4,1.38,0.89,2.26,1.26,2.14,Neither,Italy
Frosinone-18,5,10,23,29,69,-40,25,35.6,60.9,-25.3,-0.67,33,26.4,41.4,21,24,4,5,0.74,0.55,1.29,0.63,1.18,31.8,24.7,56.5,0.94,0.65,1.59,0.84,1.49,Relegation Spot,Italy
Genoa-18,8,14,16,39,57,-18,38,43.6,54,-10.4,-0.27,31,26,43.2,26,33,4,5,0.97,0.68,1.66,0.87,1.55,39.8,27.1,66.9,1.15,0.71,1.86,1.05,1.76,Neither,Italy
Inter-18,20,9,9,57,33,24,69,64.3,38.3,25.9,0.68,23,27.7,59.4,36,49,8,9,1.5,0.95,2.45,1.29,2.24,57.4,44.2,101.6,1.69,1.16,2.85,1.51,2.67,European Spot,Italy
Juventus-18,28,6,4,70,30,40,90,58.2,36.1,22.1,0.58,31,28,55.9,44,59,7,8,1.74,1.16,2.89,1.55,2.71,52.1,37,89.1,1.53,0.97,2.5,1.37,2.35,European Spot,Italy
Lazio-18,17,8,13,56,46,10,59,56.4,42.7,13.7,0.36,30,27.9,50.9,35,48,6,6,1.42,0.92,2.34,1.26,2.18,52,38.9,90.9,1.49,1.02,2.51,1.37,2.39,Neither,Italy
Milan-18,19,11,8,55,36,19,68,48.1,40,8.1,0.21,23,24.8,54,35,49,3,4,1.37,0.92,2.29,1.29,2.21,45,34.3,79.3,1.26,0.9,2.17,1.18,2.09,European Spot,Italy
Napoli-18,24,7,7,74,36,38,79,68.1,34.5,33.7,0.89,26,27,59.1,54,70,3,4,1.92,1.42,3.34,1.84,3.26,65.4,53.8,119.2,1.79,1.42,3.21,1.72,3.14,European Spot,Italy
Parma-18,10,11,17,41,61,-20,41,38.7,65.4,-26.6,-0.7,31,29.4,37.7,22,36,4,5,1.05,0.58,1.63,0.95,1.53,34.9,22.6,57.5,1.02,0.59,1.61,0.92,1.51,Neither,Italy
Roma-18,18,12,8,66,48,18,66,64.3,54.4,9.9,0.26,26,27.5,51.4,41,60,6,6,1.74,1.08,2.82,1.58,2.66,59.8,43.5,103.2,1.69,1.14,2.84,1.57,2.72,European Spot,Italy
Sampdoria-18,15,8,15,60,51,9,53,49.8,52.7,-2.9,-0.08,24,26.1,55.1,41,50,10,12,1.58,1.08,2.66,1.32,2.39,40.8,31.9,72.7,1.31,0.84,2.15,1.07,1.91,Neither,Italy
Sassuolo-18,9,16,13,53,60,-7,43,46.3,57.3,-11,-0.29,29,25.4,53.8,33,45,5,5,1.32,0.87,2.18,1.18,2.05,42.5,30.9,73.4,1.22,0.81,2.03,1.12,1.93,Neither,Italy
SPAL-18,11,9,18,44,56,-12,42,41.4,48.4,-7,-0.18,28,27.8,50.5,30,37,7,8,1.16,0.79,1.95,0.97,1.76,35.4,23.5,58.8,1.09,0.62,1.71,0.93,1.55,Neither,Italy
Torino-18,16,15,7,52,37,15,63,49.3,47.9,1.4,0.04,25,27.6,51.1,31,45,5,6,1.32,0.82,2.13,1.18,2,44.8,33.6,78.4,1.3,0.88,2.18,1.18,2.06,European Spot,Italy
Udinese-18,11,10,17,39,53,-14,43,41.5,57.6,-16.1,-0.42,32,25.3,42.5,30,35,3,8,1,0.79,1.79,0.92,1.71,35.3,27.2,62.5,1.09,0.72,1.81,0.93,1.64,Neither,Italy
Atalanta-19,23,9,6,98,48,50,78,81.8,41.4,40.5,1.07,30,27.2,57.8,68,89,7,10,2.53,1.79,4.32,2.34,4.13,74.2,53.5,127.7,2.15,1.41,3.56,1.95,3.36,European Spot,Italy
Bologna-19,12,11,15,52,65,-13,47,53.1,54.9,-1.8,-0.05,31,27.2,52.9,31,43,5,6,1.26,0.82,2.08,1.13,1.95,48.5,36.3,84.8,1.4,0.95,2.35,1.28,2.23,Neither,Italy
Brescia-19,6,7,25,35,79,-44,25,42.4,77.6,-35.2,-0.93,32,25.6,40.3,22,30,4,4,0.89,0.58,1.47,0.79,1.37,39.4,25.4,64.8,1.12,0.67,1.79,1.04,1.71,Relegation Spot,Italy
Cagliari-19,11,12,15,52,56,-4,45,41.4,57.2,-15.9,-0.42,33,27.4,45.5,34,46,4,6,1.32,0.89,2.21,1.21,2.11,36.7,28.5,65.2,1.09,0.75,1.84,0.97,1.72,Neither,Italy
Fiorentina-19,12,13,13,51,48,3,49,54.7,48.9,5.8,0.15,33,25.1,47.3,30,40,9,11,1.29,0.79,2.08,1.05,1.84,46.7,35.7,82.4,1.44,0.94,2.38,1.23,2.17,Neither,Italy
Genoa-19,10,9,19,47,73,-26,39,47.4,59.2,-11.8,-0.31,34,26.8,49.5,28,35,11,16,1.21,0.74,1.95,0.92,1.66,35.3,25.6,60.9,1.25,0.67,1.92,0.93,1.6,Neither,Italy
Hellas Verona-19,12,13,13,47,51,-4,49,49.2,52.5,-3.3,-0.09,30,26.1,49.8,27,37,8,9,1.18,0.71,1.89,0.97,1.68,42.4,31.7,74.1,1.29,0.83,2.13,1.12,1.95,Neither,Italy
Inter-19,24,10,4,81,36,45,82,72.3,40.6,31.6,0.83,29,27.7,54.2,57,70,10,11,2.11,1.5,3.61,1.84,3.34,63.8,45.7,109.5,1.9,1.2,3.1,1.68,2.88,European Spot,Italy
Juventus-19,26,5,7,76,43,33,83,68.7,41.8,26.9,0.71,30,28.6,58.3,47,60,13,14,1.92,1.24,3.16,1.58,2.82,58.1,43.9,102,1.81,1.16,2.96,1.53,2.69,European Spot,Italy
Lazio-19,24,6,8,79,42,37,78,68.4,49.5,18.9,0.5,27,27.9,50.5,45,62,15,18,2.03,1.18,3.21,1.63,2.82,54.9,42.2,97.1,1.8,1.11,2.91,1.45,2.56,European Spot,Italy
Lecce-19,9,8,21,52,85,-33,35,53.9,84,-30.1,-0.79,30,28.7,44.6,30,41,11,15,1.37,0.79,2.16,1.08,1.87,43.1,31.1,74.2,1.42,0.82,2.24,1.13,1.95,Relegation Spot,Italy
Milan-19,19,9,10,63,46,17,66,59.5,47.1,12.4,0.33,32,24.6,55.1,38,52,8,9,1.58,1,2.58,1.37,2.37,52.8,41.9,94.6,1.56,1.1,2.67,1.39,2.49,European Spot,Italy
Napoli-19,18,8,12,61,50,11,62,62.4,39.4,23,0.6,25,26.9,59.5,45,55,5,5,1.58,1.18,2.76,1.45,2.63,58.6,47.5,106.1,1.64,1.25,2.89,1.54,2.79,European Spot,Italy
Parma-19,14,7,17,56,57,-1,49,46.6,62.1,-15.5,-0.41,25,28.8,43.6,38,49,4,6,1.39,1,2.39,1.29,2.29,42.1,31.1,73.1,1.23,0.82,2.04,1.11,1.92,Neither,Italy
Roma-19,21,7,10,77,51,26,70,72.6,48.3,24.3,0.64,31,26.9,52.9,47,61,12,14,1.92,1.24,3.16,1.61,2.84,62.2,47.3,109.5,1.91,1.24,3.15,1.64,2.88,European Spot,Italy
